symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
VPS13B	0.8629056180043754	0.9377419082402977	No data	No data	No data	0.3267063352561974	No data	0.2907125074178772	vacuolar protein sorting 13 homolog B
GNAS	0.8604795023046342	0.9462655864281858	No data	No data	No data	0.606600701807397	No data	0.5432126863111904	GNAS complex locus
CREBBP	0.8478390114484018	0.9119172397762164	No data	No data	No data	0.394873620921366	No data	0.3866482090226411	CREB binding protein
ALMS1	0.8370890156320882	0.9196446571491146	No data	No data	No data	0.834344591962379	No data	0.6382580546243214	ALMS1 centrosome and basal body associated protein
MC4R	0.8255842055859551	0.8986952580275288	No data	0.8504171934990405	No data	0.9775971336296189	No data	0.7534796934904743	melanocortin 4 receptor
EP300	0.8135121441848189	0.8827539209422536	0.7219178221638001	No data	No data	0.6737201155351245	No data	No data	E1A binding protein p300
MAGEL2	0.8040535096911211	0.8845324029289607	No data	No data	No data	0.5036560181423398	No data	0.4382184719750369	MAGE family member L2
RAB23	0.7955832542082918	0.8762989253000308	No data	No data	No data	0.43403257502174647	No data	No data	RAB23, member RAS oncogene family
PCNT	0.7926140365194779	0.8884192946335571	No data	No data	No data	0.4404402232960917	No data	0.2554525211564032	pericentrin
RAI1	0.7788556494736738	0.8556861083542333	No data	No data	No data	0.7609886999295749	No data	0.6053029621078151	retinoic acid induced 1
PRMT7	0.7693845547657304	0.8881950673253131	No data	No data	No data	0.1418505194427116	No data	No data	protein arginine methyltransferase 7
POMC	0.7630199901172134	0.8589448832761657	No data	No data	0.607930797611621	0.940536376030005	No data	0.677187744635483	proopiomelanocortin
KIDINS220	0.7524565048937081	0.8431916284543921	No data	No data	No data	0.6532520385735674	No data	No data	kinase D interacting substrate 220
PCSK1	0.742758105587488	0.8301749268024221	No data	No data	No data	0.7991310589273879	No data	0.5605158354879299	proprotein convertase subtilisin/kexin type 1
INPP5E	0.737001725958766	0.8275373636492532	No data	No data	No data	0.20141929412535028	No data	No data	inositol polyphosphate-5-phosphatase E
LEPR	0.7328229544878858	0.7988624517125218	No data	0.4894794200745814	No data	0.6915615805849928	No data	0.7445103999626482	leptin receptor
MEGF8	0.7212091435891955	0.8090118012324958	No data	No data	No data	0.21121542345019756	No data	0.2508322470945548	multiple EGF like domains 8
PPARG	0.7031057161266518	0.8342884868066249	No data	0.14695882683930922	No data	0.9587352619059496	No data	0.5640553653270683	peroxisome proliferator activated receptor gamma
LEP	0.6823399593696112	0.7611990567212444	No data	No data	No data	0.9930581272696865	No data	0.6813533772824377	leptin
ADCY3	0.6430752538391562	0.7365741522279455	No data	No data	No data	0.8716380734369712	No data	0.4035078018501049	adenylate cyclase 3
SCN1A	0.6429742982503874	0.4377101742803672	No data	0.9478110668205711	No data	0.01823792392834863	No data	No data	sodium voltage-gated channel alpha subunit 1
GLP1R	0.6327714906651616	No data	No data	0.9824109568036568	No data	0.945452272895101	No data	0.5029867527205043	glucagon like peptide 1 receptor
CNR1	0.6270307167406038	0.3799567485072632	No data	0.9105385986912076	No data	0.9087392306977369	No data	0.45567405651472576	cannabinoid receptor 1
GRIA4	0.6262463046798294	0.42555155832813474	No data	0.9227940586622891	No data	0.04255515583281348	No data	No data	glutamate ionotropic receptor AMPA type subunit 4
SLC6A2	0.6192000704336393	No data	No data	0.9872355998629112	No data	0.6260299643693787	No data	No data	solute carrier family 6 member 2
SIM1	0.6160687625327707	0.7330474249304888	No data	No data	No data	0.8356359576854169	No data	0.6477362298785435	SIM bHLH transcription factor 1
SLC6A3	0.6096424404246988	No data	No data	0.9783150068600545	No data	0.2485352636006646	No data	0.37955019478636043	solute carrier family 6 member 3
