symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
ABCC8	0.8486084029831783	0.8888781169449483	0.6189714963749121	0.998509069877539	No data	0.27697245880472443	No data	0.7944042245182669	ATP binding cassette subfamily C member 8
GCK	0.8483057593874241	0.9377398492207989	No data	0.6097008219103286	No data	0.6959370840826689	No data	0.9259838929110578	glucokinase
KCNJ11	0.8452365185218679	0.8527079926413131	0.7133145042531812	0.9985145259822782	No data	0.6146071164384773	No data	0.47111597160912577	potassium inwardly rectifying channel subfamily J member 11
PPARG	0.8384943720591216	0.8908846113787386	No data	0.9974361686205565	No data	0.8810520970217276	No data	0.7188047725940493	peroxisome proliferator activated receptor gamma
INSR	0.7770816861790452	0.6198257923280048	0.19453785523571876	0.9990218117083446	No data	0.48997550585119853	No data	0.556234726758053	insulin receptor
HNF1B	0.7721377232288608	0.8895688052644184	No data	No data	No data	0.463486078363077	No data	No data	HNF1 homeobox B
HNF4A	0.750552350386592	0.8569695090586483	0.19757750922377684	No data	No data	0.7035178233109175	No data	0.6857003448960876	hepatocyte nuclear factor 4 alpha
GLP1R	0.7494321346349085	0.815605635144139	No data	0.9971604425892059	No data	0.9813196638993202	No data	0.7911999800349444	glucagon like peptide 1 receptor
WFS1	0.739778929601557	0.8873238603969447	No data	No data	No data	0.2665912745034115	No data	0.5600855799606906	wolframin ER transmembrane glycoprotein
HNF1A	0.7397155172005297	0.8443063940616451	0.24610727383978453	No data	No data	0.8941683922787869	No data	No data	HNF1 homeobox A
AKT2	0.7079840407159109	0.7921212700612796	No data	No data	No data	0.22568968047153384	No data	0.7742363355110211	AKT serine/threonine kinase 2
GPD2	0.696574296887555	0.547137717850459	No data	0.9992202508162835	No data	0.13297786587956414	No data	0.36652147788004635	glycerol-3-phosphate dehydrogenase 2
